Question ID,Category,Question Text,Difficulty,Option1,Weight1,Option2,Weight2,Option3,Weight3
CF9,Crypto_Focus,Blockchain technology integrates cryptographic principles like hashing and distributed consensus. Understanding it requires connecting multiple concepts together. What is your natural approach?,Hard,Understand high-level working of blockchain,0.4,"Explore cryptographic foundations, consensus mechanisms, and system design deeply",0.45,Avoid blockchain topics,0.15
CF10,Crypto_Focus,"When analyzing a security breach or vulnerability, identifying root causes requires understanding both system design and cryptographic weaknesses. What best describes your response?",Hard,Apply fixes based on known solutions,0.4,"Investigate root causes, analyze vulnerabilities, and understand failure deeply",0.45,Avoid such complex analysis,0.15
CO1,Cloud_Ops,"Deploying an application to the cloud introduces concepts such as virtual machines, containers, and managed services. Some developers rely entirely on platform defaults, while others try to understand what happens behind the scenes. What best reflects your natural approach?",Easy,Use cloud platforms with default configurations to deploy quickly,0.4,"Explore how infrastructure, virtual machines, and services operate behind the scenes",0.5,Avoid deployment tasks whenever possible,0.1
CO2,Cloud_Ops,Scaling applications to handle increased traffic often requires decisions about horizontal vs vertical scaling. These concepts influence system performance and cost. How do you engage with such ideas?,Easy,Apply scaling options suggested by the platform,0.35,"Understand scaling strategies, trade-offs, and when to use each approach",0.55,Ignore scaling concepts,0.1
CO3,Cloud_Ops,"Cloud platforms provide services like storage, compute, and networking, which can be combined in multiple ways. Observing these services may lead to either usage or deeper curiosity. What is your tendency?",Easy,Use services as required for projects,0.4,Explore how different cloud services interact and form complete architectures,0.5,Avoid exploring cloud services deeply,0.1
CO4,Cloud_Ops,"Containerization tools such as Docker allow applications to run consistently across environments. This introduces concepts like images, containers, and orchestration. How do you approach learning these tools?",Medium,Use containers by following tutorials,0.35,"Understand containerization deeply, including how environments are isolated and managed",0.5,Avoid using containers,0.15
CO5,Cloud_Ops,"Managing cloud infrastructure often involves Infrastructure as Code (IaC), where configurations are defined programmatically. This can improve scalability and consistency. What best describes your engagement?",Medium,Use predefined scripts or templates,0.4,Understand IaC concepts and how infrastructure can be automated and version-controlled,0.45,Ignore infrastructure automation,0.15
CO6,Cloud_Ops,Monitoring and logging are essential for maintaining cloud applications and detecting failures. These systems provide insights into application behavior. How do you approach this aspect?,Medium,Use basic monitoring tools when needed,0.35,"Analyze logs, metrics, and system behavior to understand performance and issues deeply",0.5,Ignore monitoring unless problems occur,0.15
CO7,Cloud_Ops,Handling failures in distributed cloud systems requires designing for fault tolerance and recovery. This includes redundancy and backup strategies. What is your approach to such challenges?,Medium,Apply simple fixes when failures occur,0.4,"Design systems with fault tolerance, redundancy, and recovery mechanisms in mind",0.45,Avoid dealing with failure scenarios,0.15
CO8,Cloud_Ops,Large-scale cloud systems often use orchestration tools like Kubernetes to manage containers and services efficiently. These systems can appear complex initially. How do you engage with such tools?,Hard,Understand basic usage and commands,0.4,"Study orchestration, scaling, service management, and deployment strategies deeply",0.45,Avoid these tools due to complexity,0.15
CO9,Cloud_Ops,Optimizing cloud cost while maintaining performance requires balancing resource allocation and usage. This involves analyzing usage patterns and system requirements. What best describes your approach?,Hard,Use default configurations without cost optimization,0.4,Analyze usage patterns and optimize resource allocation for cost and performance,0.45,Ignore cost considerations,0.15
CO10,Cloud_Ops,"In a scenario where a cloud-based system experiences downtime, identifying the root cause may involve analyzing logs, infrastructure, and network behavior. How do you typically respond?",Hard,Restart services or apply quick fixes,0.4,"Investigate logs, trace system behavior, and identify root causes systematically",0.45,Avoid deep troubleshooting,0.15
LL1,Low_Level,"In early programming experiences, variables behave differently depending on where and how they are created. For example, local variables inside functions disappear after execution, while dynamically allocated memory persists. Such observations often raise questions about how memory is structured internally. When encountering this behavior, what best reflects your natural curiosity?",Easy,Focus on making the program work without thinking about memory behavior,0.4,"Explore how memory is organized, including stack vs heap and allocation mechanisms",0.5,Ignore these differences as they are not immediately necessary,0.1
LL2,Low_Level,"Pointer-based operations allow direct manipulation of memory addresses, which can initially feel unintuitive and error-prone. Some learners rely on examples, while others attempt to deeply understand what is happening at the hardware level. How do you typically respond when faced with such concepts?",Easy,Use pointers only by following examples or templates,0.35,"Try to understand memory addresses, dereferencing, and how data is accessed and modified",0.55,Avoid using pointers due to confusion,0.1
LL3,Low_Level,"Programs executed on a system are managed by the operating system, which handles processes and resource allocation. Observing how multiple applications run simultaneously may lead to questions about process management. What is your natural reaction to such observations?",Easy,Understand the basic idea that multiple programs can run at once,0.4,"Explore how processes are created, scheduled, and managed internally by the OS",0.5,Avoid diving into operating system details,0.1
LL4,Low_Level,"In multi-threaded applications, unexpected outputs may occur when multiple threads access shared resources simultaneously. This introduces issues like race conditions and the need for synchronization. Faced with such behavior, how do you approach resolving it?",Medium,Use available tools or examples to fix the issue quickly,0.35,"Study synchronization techniques like locks, semaphores, and understand why race conditions occur",0.5,Avoid multi-threading due to its complexity,0.15
LL5,Low_Level,"Long-running applications sometimes show increasing memory usage, eventually slowing down or crashing. This often indicates memory leaks or improper resource management. When debugging such a situation, what best describes your approach?",Medium,Use debugging tools to locate and fix the issue quickly,0.4,Investigate allocation and deallocation patterns to understand the root cause deeply,0.45,Ignore the issue if the program still runs,0.15
LL6,Low_Level,CPU scheduling determines how processes are executed over time using strategies like First-Come-First-Serve or Round Robin. These decisions directly affect system performance and responsiveness. How do you engage with such topics?,Medium,Understand basic differences between scheduling algorithms,0.35,Analyze how each scheduling algorithm works and compare their trade-offs deeply,0.5,Skip these topics as they seem theoretical,0.15
LL7,Low_Level,"File systems manage how data is stored, organized, and retrieved from storage devices. Concepts such as indexing, blocks, and directory structures play a crucial role. What is your natural approach to understanding these systems?",Medium,Learn how to use file operations practically,0.4,"Explore how data is physically stored and retrieved, including indexing and block management",0.45,Ignore internal storage details,0.15
LL8,Low_Level,Virtual memory enables systems to handle programs larger than the available physical memory using techniques like paging and segmentation. These mechanisms can be complex but are fundamental to system design. How do you approach such concepts?,Hard,Understand the general idea of virtual memory,0.4,"Study how address translation, paging, and memory mapping work in detail",0.45,Avoid these topics due to complexity,0.15
LL9,Low_Level,"System performance often depends on the interaction between CPU usage, memory access, and disk I/O. Analyzing these interactions can reveal bottlenecks and optimization opportunities. When encountering such scenarios, what is your response?",Hard,Look at basic performance metrics only,0.4,"Analyze how CPU, memory, and I/O interact and affect overall system performance",0.45,Ignore deeper performance analysis,0.15
LL10,Low_Level,"Debugging low-level system crashes may require examining memory states, registers, and execution flow step by step. This process can be complex and time-consuming but provides deep insights into system behavior. What best describes your approach in such situations?",Hard,Use debugging tools to identify the issue quickly,0.4,"Trace execution, inspect memory and registers, and understand the root cause deeply",0.45,Avoid such low-level debugging tasks,0.15
DB1,DB_Design,"Designing a database for an application often begins with identifying entities such as users, transactions, or products. However, simply creating tables is not enough; structuring relationships and ensuring data integrity becomes critical. In such a situation, how do you typically approach database design?",Easy,Create tables quickly based on immediate requirements,0.4,"Carefully think about relationships, normalization, and data integrity before designing schema",0.5,Design tables randomly just to make the system work,0.1
DB2,DB_Design,"Relational databases require understanding of keys such as primary keys and foreign keys, which define how data is linked across tables. These concepts can either be used superficially or deeply understood. What best describes your approach?",Easy,Use keys as required in examples or templates,0.35,Understand how keys enforce relationships and maintain consistency across tables,0.55,Ignore key relationships and structure data loosely,0.1
DB3,DB_Design,Many applications deal with large volumes of structured data where efficient storage and retrieval become important. Observing such systems may raise questions about how databases handle queries efficiently. What is your natural tendency?,Easy,Use databases as needed without deeper exploration,0.4,"Become curious about indexing, query optimization, and storage mechanisms",0.5,Avoid learning database internals,0.1
DB4,DB_Design,"Normalization is used to reduce redundancy and improve consistency in relational databases, but over-normalization may affect performance. Balancing these factors requires careful reasoning. How do you engage with such trade-offs?",Medium,Apply normalization rules as learned,0.35,Analyze when to normalize and when to denormalize based on performance and use case,0.5,Ignore normalization concepts,0.15
DB5,DB_Design,"Query performance often depends on indexing strategies, which determine how quickly data can be retrieved. Choosing the right index can significantly improve efficiency. What best describes your approach?",Medium,Add indexes when needed based on suggestions,0.4,Understand indexing mechanisms and design indexes strategically for performance,0.45,Avoid working with indexes,0.15
DB6,DB_Design,"Transaction management ensures that database operations are reliable and consistent, especially in concurrent environments. Concepts like ACID properties define this behavior. How do you approach such concepts?",Medium,Use transactions when required,0.35,Understand ACID properties and how they ensure consistency and reliability,0.5,Ignore transaction-level details,0.15
DB7,DB_Design,Modern applications sometimes require choosing between SQL and NoSQL databases depending on scalability and flexibility needs. This decision involves understanding trade-offs. What is your approach?,Medium,Choose database type based on common usage or examples,0.4,"Analyze data structure, scalability, and consistency requirements before choosing",0.45,Avoid thinking about database choice deeply,0.15
DB8,DB_Design,Handling concurrent database access may lead to issues like deadlocks or inconsistent reads. These problems require understanding isolation levels and locking mechanisms. How do you respond to such challenges?,Hard,Use default configurations and hope issues are minimal,0.4,"Study concurrency control, locking, and isolation levels in depth",0.45,Avoid dealing with such complex issues,0.15
DB9,DB_Design,Large-scale systems often require distributed databases where data is partitioned or replicated across multiple nodes. This introduces complexity in consistency and performance. What best describes your approach?,Hard,Understand general idea of distributed databases,0.4,"Explore sharding, replication, and consistency models deeply",0.45,Avoid distributed database concepts,0.15
DB10,DB_Design,"When a database-driven application slows down, identifying whether the issue lies in schema design, queries, or indexing requires systematic analysis. How do you approach such a situation?",Hard,Apply quick fixes like adding indexes,0.4,"Analyze queries, schema design, and execution plans to find root causes",0.45,Ignore performance issues unless critical,0.15
SO1,System_Opt,Programs that work correctly may still perform poorly under larger inputs or real-world conditions. Recognizing inefficiencies early can significantly improve system performance. What best describes your natural approach in such situations?,Easy,Focus on making the program work correctly,0.4,Think about efficiency and potential optimizations even for simple implementations,0.5,Ignore performance unless required,0.1
SO2,System_Opt,"Time complexity analysis helps predict how an algorithm scales with input size. Some learners apply it occasionally, while others use it consistently to guide design decisions. How do you engage with this concept?",Easy,Use time complexity only when necessary,0.35,Regularly analyze algorithms using Big-O notation and consider scalability,0.55,Avoid complexity analysis,0.1
SO3,System_Opt,"In many coding tasks, multiple solutions exist, but their efficiency varies significantly. Observing this difference may influence how deeply one evaluates approaches. What is your typical response?",Easy,Choose a working solution quickly,0.4,Compare multiple approaches and select the most efficient one,0.5,Ignore differences in efficiency,0.1
SO4,System_Opt,Optimizing algorithms often requires rethinking the approach entirely rather than making small changes. This may involve using different data structures or techniques. How do you respond to such challenges?,Medium,Make small improvements to existing code,0.35,Redesign the solution using more efficient algorithms or data structures,0.5,Avoid optimization tasks,0.15
SO5,System_Opt,"Memory usage is another important factor in system performance, especially in resource-constrained environments. Managing space complexity requires careful planning. What is your approach?",Medium,Focus mainly on execution speed,0.4,Consider both time and space complexity while designing solutions,0.45,Ignore memory usage,0.15
SO6,System_Opt,Caching techniques can significantly improve performance by reducing repeated computations or data retrieval. These techniques require understanding access patterns. How do you engage with caching?,Medium,Use caching if suggested or required,0.35,Analyze usage patterns and implement caching strategically,0.5,Avoid using caching,0.15
SO7,System_Opt,Parallel and concurrent execution can improve performance but introduces complexity in synchronization and data consistency. What best describes your approach?,Medium,Use parallelism when needed with basic understanding,0.4,Understand concurrency models and design systems to handle parallel execution efficiently,0.45,Avoid concurrency due to complexity,0.15
SO8,System_Opt,"Performance tuning in large systems often requires profiling tools to identify bottlenecks. This involves analyzing CPU, memory, and I/O usage. How do you approach such tasks?",Hard,Use tools to identify issues quickly,0.4,Analyze profiling data deeply to understand system behavior and bottlenecks,0.45,Avoid deep performance analysis,0.15
SO9,System_Opt,"In distributed systems, optimizing latency and throughput requires careful design of communication and processing. These systems involve trade-offs between consistency and performance. What is your natural approach?",Hard,Understand general optimization concepts,0.4,Study distributed optimization strategies and trade-offs in depth,0.45,Avoid such complex systems,0.15
SO10,System_Opt,"When a system under heavy load begins to fail or slow down, identifying the root cause may require analyzing multiple layers including code, infrastructure, and data flow. How do you typically respond?",Hard,Apply quick fixes to restore performance,0.4,Systematically analyze all layers to identify and resolve the root cause,0.45,Ignore issues until they escalate,0.15
RE1,Risk_Eval,"During software development, certain features may introduce potential risks such as data loss, security vulnerabilities, or unexpected failures. Identifying these risks early can prevent major issues later. When faced with such situations, how do you typically respond?",Easy,Focus on implementing features quickly,0.4,Think about possible risks and how they might impact the system before proceeding,0.5,Ignore risks unless they appear later,0.1
RE2,Risk_Eval,"While working on a project with tight deadlines, shortcuts might be taken that compromise quality or safety. Deciding whether to prioritize speed or reliability can be challenging. What best describes your approach?",Easy,Prioritize completing the task quickly,0.35,Balance speed with careful consideration of potential risks and consequences,0.55,Ignore risks completely under pressure,0.1
RE3,Risk_Eval,"Software systems often depend on external libraries or services, which may introduce vulnerabilities or compatibility issues. Observing this dependency can influence how carefully one evaluates choices. What is your natural tendency?",Easy,Use popular libraries without much evaluation,0.4,"Assess reliability, security, and long-term risks before choosing dependencies",0.5,Avoid thinking about dependency risks,0.1
RE4,Risk_Eval,"In complex systems, small design decisions can lead to large-scale failures under certain conditions. Anticipating such scenarios requires proactive thinking. How do you approach such situations?",Medium,Handle problems when they occur,0.35,Think ahead about failure scenarios and design systems to handle them,0.5,Avoid considering unlikely failures,0.15
RE5,Risk_Eval,Security risks such as unauthorized access or data breaches can arise if systems are not carefully designed. Addressing these risks requires understanding both technical and human factors. What best describes your approach?,Medium,Apply basic security practices,0.4,Analyze potential vulnerabilities and implement preventive measures thoughtfully,0.45,Ignore deeper security considerations,0.15
RE6,Risk_Eval,Testing strategies often determine how well a system can handle unexpected inputs or edge cases. Insufficient testing may leave hidden risks unresolved. How do you engage with testing?,Medium,Test only major functionalities,0.35,Design comprehensive test cases including edge cases and failure scenarios,0.5,Skip testing whenever possible,0.15
RE7,Risk_Eval,Deploying systems in production environments involves risks such as downtime or data inconsistency. Proper planning can minimize these issues. What is your typical response?,Medium,Deploy changes directly with minimal checks,0.4,Plan deployments carefully with rollback strategies and monitoring,0.45,Avoid handling deployments,0.15
RE8,Risk_Eval,"In distributed systems, failures can occur due to network issues, partial system crashes, or inconsistent states. Understanding these risks requires deep analysis. How do you approach such challenges?",Hard,Understand basic failure scenarios,0.4,Analyze distributed system risks and design for fault tolerance and recovery,0.45,Avoid dealing with such systems,0.15
RE9,Risk_Eval,"When making architectural decisions, trade-offs between performance, scalability, and security often introduce risks in different areas. Evaluating these trade-offs requires careful reasoning. What best describes your approach?",Hard,Focus on one aspect like performance,0.4,Evaluate trade-offs across multiple factors before making decisions,0.45,Avoid making complex decisions,0.15
RE10,Risk_Eval,"After a system failure occurs, identifying the root cause and preventing recurrence requires structured analysis and learning from mistakes. How do you typically respond in such situations?",Hard,Fix the issue quickly and move on,0.4,"Analyze failure deeply, document lessons, and improve system design",0.45,Ignore root cause analysis,0.15
UE1,User_Empathy,"Applications are ultimately used by people with different backgrounds and expectations. Understanding user needs can influence how features are designed and implemented. When thinking about users, what best describes your approach?",Easy,Focus mainly on technical functionality,0.4,Consider how users interact with the system and what experience they expect,0.5,Ignore user perspective,0.1
UE2,User_Empathy,Interfaces that are difficult to use can frustrate users even if the system works correctly. Observing such situations may influence design decisions. What is your natural reaction?,Easy,Ensure basic functionality works,0.35,"Think about usability, clarity, and ease of interaction for users",0.55,Ignore usability concerns,0.1
UE3,User_Empathy,"Different users may have varying levels of technical knowledge, which affects how they interact with systems. Designing for diverse audiences requires careful thought. What best describes your tendency?",Easy,Design for general use without much consideration,0.4,Consider different user types and adapt design accordingly,0.5,Ignore user diversity,0.1
UE4,User_Empathy,Feedback from users often highlights issues that developers may overlook. Responding to such feedback can improve system quality significantly. How do you approach user feedback?,Medium,Address feedback only when necessary,0.35,Analyze feedback carefully and use it to improve the system,0.5,Ignore feedback,0.15
UE5,User_Empathy,Error messages and system responses play a key role in helping users understand what went wrong. Poor communication can lead to confusion. What is your approach here?,Medium,Provide basic error messages,0.4,"Design clear, informative, and helpful messages for users",0.45,Ignore error communication quality,0.15
UE6,User_Empathy,"Accessibility considerations ensure that systems can be used by people with disabilities or limitations. This may include visual, auditory, or interaction challenges. How do you engage with accessibility?",Medium,Consider accessibility only when required,0.35,Actively think about inclusive design and accessibility needs,0.5,Ignore accessibility concerns,0.15
UE7,User_Empathy,"User journeys often involve multiple steps, and friction at any point can reduce satisfaction. Designing smooth flows requires understanding user behavior. What best describes your approach?",Medium,Focus on completing tasks functionally,0.4,Analyze user journeys and minimize friction across interactions,0.45,Ignore user flow optimization,0.15
UE8,User_Empathy,"In large systems, balancing business goals with user satisfaction can be challenging. Decisions may impact usability or performance differently. How do you approach such trade-offs?",Hard,Prioritize business requirements only,0.4,Balance user experience with system and business needs carefully,0.45,Avoid such decisions,0.15
UE9,User_Empathy,"Designing products for global audiences introduces challenges such as language differences, cultural expectations, and usage patterns. Addressing these requires deeper understanding. What is your approach?",Hard,Design for a general audience only,0.4,Consider cultural and contextual differences in design decisions,0.45,Ignore global user differences,0.15
UE10,User_Empathy,"When a feature is technically correct but users struggle to use it effectively, identifying the issue requires stepping into the users perspective. How do you typically respond?",Hard,Keep the feature as it is,0.4,Analyze user behavior and redesign for better usability,0.45,Ignore usability issues,0.15
